district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
AJMER,TANTOTI,15092.49,707.51,4.69,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,BIJAYNAGAR,30119.18,497.73,1.65,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,RUPANGARH,57221.96,2347.26,4.1,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,AJMER,68932.23,269.92,0.39,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,BHINAY,79171.7,1095.62,1.38,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,PEESANGAN,63018.8,1510.48,2.4,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,SAWAR,31719.88,3857.49,12.16,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,ARAIN,53650.21,1009.14,1.88,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,KISHANGARH,55463.44,134.35,0.24,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,KEKRI,64879.69,2878.44,4.44,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
AJMER,SARWAR,85124.24,3520.53,4.14,Ajmer,884.28,25.239972602739726,51.77394520547946,2.3450410958904113,96.48123287671233,47.15
ALWAR,BAHROR,33451.94,1609.74,4.81,Alwar,871.59,25.33841095890411,51.558684931506846,1.9256164383561645,97.9010410958904,42.43
ALWAR,MANDAWAR,55139.7,4803.47,8.71,Alwar,871.59,25.33841095890411,51.558684931506846,1.9256164383561645,97.9010410958904,42.43
ALWAR,BANSUR,68251.87,8300.36,12.16,Alwar,871.59,25.33841095890411,51.558684931506846,1.9256164383561645,97.9010410958904,42.43
ALWAR,THANAGAZI,81938.7,1423.35,1.74,Alwar,871.59,25.33841095890411,51.558684931506846,1.9256164383561645,97.9010410958904,42.43
ALWAR,KOTKASIM,33326.18,3167.26,9.5,Alwar,871.59,25.33841095890411,51.558684931506846,1.9256164383561645,97.9010410958904,42.43
ALWAR,TIJARA,66505.48,30.61,0.05,Alwar,871.59,25.33841095890411,51.558684931506846,1.9256164383561645,97.9010410958904,42.43
BANSWARA,GANGARTALAI,20935.43,192.33,0.92,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,AMBAPURA,22039.47,791.34,3.59,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,GANORA,24316.61,1174.63,4.83,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,WAGIDORA,28617.72,97.19,0.34,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,ANANDPURI,32259.17,979.74,3.04,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,SAJJANGARH,37563.05,291.48,0.78,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,GHATOL,49884.09,1080.12,2.17,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,BANSWARA,50509.25,440.17,0.87,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,KUSHALGARH,62457.66,4.05,0.01,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BANSWARA,GARHI,68512.25,1777.06,2.59,Banswara,1255.92,25.60254794520548,58.89161643835616,2.455068493150685,97.6763287671233,50.62
BARAN,CHHIPA BAROD,81746.78,3997.33,4.89,Baran,1470.7,25.520246575342465,57.583506849315064,2.0935068493150686,97.5129589041096,96.79
BARAN,KISHANGANJ,137211.0,5762.72,4.2,Baran,1470.7,25.520246575342465,57.583506849315064,2.0935068493150686,97.5129589041096,96.79
BARAN,CHHABRA,76951.76,9023.08,11.73,Baran,1470.7,25.520246575342465,57.583506849315064,2.0935068493150686,97.5129589041096,96.79
BARAN,SHAHBAD,141492.11,634.02,0.45,Baran,1470.7,25.520246575342465,57.583506849315064,2.0935068493150686,97.5129589041096,96.79
BARMER,SAMDARI,80548.48,6885.85,8.55,Barmer,376.87,27.43660273972603,40.639698630136984,2.9112602739726023,98.3885205479452,32.8
BARMER,GUDHAMALANI,124423.03,9305.57,7.48,Barmer,376.87,27.43660273972603,40.639698630136984,2.9112602739726023,98.3885205479452,32.8
BARMER,PACHPADRA,335228.84,7020.33,2.09,Barmer,376.87,27.43660273972603,40.639698630136984,2.9112602739726023,98.3885205479452,32.8
BARMER,BAYTOO,138324.76,275.66,0.2,Barmer,376.87,27.43660273972603,40.639698630136984,2.9112602739726023,98.3885205479452,32.8
BARMER,SINDARI,158110.47,7375.3,4.66,Barmer,376.87,27.43660273972603,40.639698630136984,2.9112602739726023,98.3885205479452,32.8
BARMER,SERWA,252901.45,2420.59,0.96,Barmer,376.87,27.43660273972603,40.639698630136984,2.9112602739726023,98.3885205479452,32.8
BHARATPUR,RUPWAS,54031.05,2701.15,5.0,Bharatpur,1143.68,25.176575342465757,55.28495890410959,1.8394246575342466,98.53049315068492,92.54
BHARATPUR,BAYANA,75032.66,494.37,0.66,Bharatpur,1143.68,25.176575342465757,55.28495890410959,1.8394246575342466,98.53049315068492,92.54
BHILWARA,HAMIRGARH,24371.24,3855.93,15.82,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,BADNOR,36790.34,621.35,1.69,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,KARERA,54497.39,472.81,0.87,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,SAHARA,62435.74,513.1,0.82,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,BANERA,63790.11,31.64,0.05,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,ASIND,72269.87,1799.48,2.49,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,MANDAL,62713.21,1322.04,2.11,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,BHILWARA,69286.19,3035.88,4.38,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,HURARA,60183.4,1008.02,1.67,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,PHULIYA KALAN,42369.13,1734.73,4.09,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,MANDALGARH,89498.71,6832.84,7.63,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,KOTARI,89815.42,8034.91,8.95,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BHILWARA,JAHAJPUR,103968.05,8945.89,8.6,Bhilwara,971.98,24.814383561643837,53.797616438356165,2.311808219178082,95.4474794520548,59.65
BUNDI,INDERGARH,61279.77,9828.18,16.04,Bundi,1383.12,25.442849315068493,56.57843835616438,2.0332054794520547,97.3403287671233,71.39
BUNDI,BUNDI,92855.34,142.69,0.15,Bundi,1383.12,25.442849315068493,56.57843835616438,2.0332054794520547,97.3403287671233,71.39
CHITTAURGARH,KAPASAN,49286.46,677.57,1.37,Chittorgarh,1042.16,24.900602739726025,54.66660273972603,2.2385479452054797,95.50586301369863,62.28
CHITTAURGARH,GANGRAR,53518.71,742.19,1.39,Chittorgarh,1042.16,24.900602739726025,54.66660273972603,2.2385479452054797,95.50586301369863,62.28
CHITTAURGARH,CHITTAURGARH,94911.69,3269.32,3.44,Chittorgarh,1042.16,24.900602739726025,54.66660273972603,2.2385479452054797,95.50586301369863,62.28
CHITTAURGARH,RAWATBHATA,155485.79,8823.75,5.67,Chittorgarh,1042.16,24.900602739726025,54.66660273972603,2.2385479452054797,95.50586301369863,62.28
CHITTAURGARH,BEGUN,88416.72,643.04,0.73,Chittorgarh,1042.16,24.900602739726025,54.66660273972603,2.2385479452054797,95.50586301369863,62.28
DHAULPUR,SEPAU,29638.33,183.43,0.62,Dholpur,1248.77,25.270767123287673,56.93202739726027,1.8237260273972602,98.76032876712328,68.24
DHAULPUR,RAJAKHERA,38839.56,6390.43,16.45,Dholpur,1248.77,25.270767123287673,56.93202739726027,1.8237260273972602,98.76032876712328,68.24
DHAULPUR,SARMATHURA,62830.9,1801.89,2.87,Dholpur,1248.77,25.270767123287673,56.93202739726027,1.8237260273972602,98.76032876712328,68.24
DHAULPUR,BARI,77006.81,2330.47,3.03,Dholpur,1248.77,25.270767123287673,56.93202739726027,1.8237260273972602,98.76032876712328,68.24
DUNGARPUR,GALIACOT,18887.9,1036.85,5.49,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
DUNGARPUR,CHIKHLI,24292.84,807.69,3.32,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
DUNGARPUR,ASPUR,33568.9,973.14,2.9,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
DUNGARPUR,SABLA,34648.56,3092.24,8.92,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
