risk_rank,district,sub_district,flood_affected_percent,risk_category,risk_score
124,BANSWARA,GANGARTALAI,0.92,Low,1
125,BANSWARA,BANSWARA,0.87,Low,1
126,BHILWARA,KARERA,0.87,Low,1
127,UDAIPUR,RISHABHDEV,0.83,Low,1
128,BHILWARA,SAHARA,0.82,Low,1
129,BANSWARA,SAJJANGARH,0.78,Low,1
130,KARAULI,SAPOTRA,0.77,Low,1
131,CHITTAURGARH,BEGUN,0.73,Low,1
132,PRATAPGARH,ARNOD,0.73,Low,1
133,BHARATPUR,BAYANA,0.66,Low,1
134,UDAIPUR,KHERWARA,0.64,Low,1
135,DHAULPUR,SEPAU,0.62,Low,1
136,JAIPUR,CHAKSU,0.62,Low,1
137,RAJ SAMAND,DEVGARH,0.57,Low,1
138,SIROHI,REVDAR,0.53,Low,1
139,BARAN,SHAHBAD,0.45,Low,1
140,DUNGARPUR,SIMALWARA,0.44,Low,1
141,RAJ SAMAND,KHAMNOR,0.43,Low,1
142,AJMER,AJMER,0.39,Low,1
143,UDAIPUR,BARGAON,0.37,Low,1
144,BANSWARA,WAGIDORA,0.34,Low,1
145,DUNGARPUR,DUNGARPUR,0.27,Low,1
146,UDAIPUR,KOTRA,0.25,Low,1
147,AJMER,KISHANGARH,0.24,Low,1
148,UDAIPUR,GIRWA,0.24,Low,1
149,BARMER,BAYTOO,0.2,Low,1
150,SIROHI,ABU ROAD,0.2,Low,1
151,DUNGARPUR,BICHHIWARA,0.18,Low,1
152,BUNDI,BUNDI,0.15,Low,1
153,RAJ SAMAND,BHIM,0.09,Low,1
154,ALWAR,TIJARA,0.05,Low,1
155,BHILWARA,BANERA,0.05,Low,1
156,HANUMANGARH,SANGHRIYA,0.04,Low,1
157,UDAIPUR,MAVLI,0.04,Low,1
158,BANSWARA,KUSHALGARH,0.01,Low,1
159,UDAIPUR,VALLABHNAGAR,0.01,Low,1
160,UDAIPUR,GOGUNDA,0.01,Low,1
161,UDAIPUR,JHAROL,0.0,Low,1
162,UDAIPUR,LASADIYA,0.0,Low,1
