district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,avg_annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
AJMER,TANTOTI,15092.49,707.51,4.69,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,BIJAYNAGAR,30119.18,497.73,1.65,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,RUPANGARH,57221.96,2347.26,4.1,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,AJMER,68932.23,269.92,0.39,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,BHINAY,79171.7,1095.62,1.38,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,PEESANGAN,63018.8,1510.48,2.4,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,SAWAR,31719.88,3857.49,12.16,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,ARAIN,53650.21,1009.14,1.88,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,KISHANGARH,55463.44,134.35,0.24,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,KEKRI,64879.69,2878.44,4.44,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
AJMER,SARWAR,85124.24,3520.53,4.14,Ajmer,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83
ALWAR,BAHROR,33451.94,1609.74,4.81,Alwar,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7
ALWAR,MANDAWAR,55139.7,4803.47,8.71,Alwar,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7
ALWAR,BANSUR,68251.87,8300.36,12.16,Alwar,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7
ALWAR,THANAGAZI,81938.7,1423.35,1.74,Alwar,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7
ALWAR,KOTKASIM,33326.18,3167.26,9.5,Alwar,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7
ALWAR,TIJARA,66505.48,30.61,0.05,Alwar,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7
BANSWARA,GANGARTALAI,20935.43,192.33,0.92,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,AMBAPURA,22039.47,791.34,3.59,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,GANORA,24316.61,1174.63,4.83,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,WAGIDORA,28617.72,97.19,0.34,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,ANANDPURI,32259.17,979.74,3.04,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,SAJJANGARH,37563.05,291.48,0.78,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,GHATOL,49884.09,1080.12,2.17,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,BANSWARA,50509.25,440.17,0.87,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,KUSHALGARH,62457.66,4.05,0.01,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BANSWARA,GARHI,68512.25,1777.06,2.59,Banswara,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16
BARAN,CHHIPA BAROD,81746.78,3997.33,4.89,Baran,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15
BARAN,KISHANGANJ,137211.0,5762.72,4.2,Baran,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15
BARAN,CHHABRA,76951.76,9023.08,11.73,Baran,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15
BARAN,SHAHBAD,141492.11,634.02,0.45,Baran,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15
BARMER,SAMDARI,80548.48,6885.85,8.55,Barmer,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72
