district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent
UDAIPUR,KHERWARA,61205.26,392.42,0.64
UDAIPUR,SARARA,77835.11,1922.17,2.47
UDAIPUR,MAVLI,78806.45,34.46,0.04
UDAIPUR,SALUMBER,94202.57,2857.14,3.03
UDAIPUR,VALLABHNAGAR,103887.34,14.24,0.01
UDAIPUR,GIRWA,136212.49,331.94,0.24
UDAIPUR,JHAROL,137083.44,6.21,0.0
UDAIPUR,LASADIYA,56083.7,1.92,0.0
UDAIPUR,GOGUNDA,110255.91,14.22,0.01
UDAIPUR,KOTRA,153704.4,390.39,0.25
UDAIPUR,BARGAON,44121.17,164.14,0.37
