district,year,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
AJMER,1986,353.17,25.342,34.717123287671235,2.4787945205479454,96.47994520547945,44.84
AJMER,1987,220.49,26.728575342465753,30.140383561643834,2.414328767123288,96.52449315068493,13.98
AJMER,1988,378.63,26.485027322404374,36.43035519125683,2.5658743169398908,96.41549180327868,22.68
AJMER,1989,296.17,25.869342465753423,31.946630136986304,2.519123287671233,96.47682191780822,48.47
AJMER,1990,479.21,25.79794520547945,40.185095890410956,2.4495342465753427,96.44857534246576,30.63
AJMER,1991,316.26,26.082547945205476,32.43043835616439,2.3895616438356164,96.48797260273973,21.28
AJMER,1992,564.07,25.016830601092895,42.161147540983606,2.308743169398907,96.54601092896176,55.36
AJMER,1993,420.19,26.131205479452053,35.732027397260275,2.483260273972603,96.50843835616439,41.48
AJMER,1994,554.14,25.350520547945205,40.63764383561644,2.3386575342465754,96.4754794520548,43.43
AJMER,1995,532.3,25.495671232876713,38.91523287671233,2.326821917808219,96.47745205479451,33.35
AJMER,1996,571.45,25.217759562841533,39.43819672131147,2.339535519125683,96.44259562841529,30.88
AJMER,1997,564.63,24.41090410958904,45.488082191780826,2.438,96.57095890410959,57.83
AJMER,1998,458.89,25.716712328767123,40.03150684931507,2.310986301369863,96.49334246575343,32.25
AJMER,1999,221.12,26.584767123287673,32.19013698630137,2.559041095890411,96.41600000000001,21.66
AJMER,2000,233.72,26.309125683060106,31.14863387978142,2.5981420765027323,96.38565573770492,22.51
AJMER,2001,430.16,25.724383561643833,35.74624657534246,2.3220547945205476,96.45301369863013,50.22
AJMER,2002,145.55,27.076301369863014,29.166520547945208,2.537917808219178,96.46484931506849,14.47
AJMER,2003,408.21999999999997,25.572986301369863,39.087753424657535,2.4083287671232876,96.4966301369863,18.19
AJMER,2004,465.54,26.065628415300548,39.04234972677595,2.405601092896175,96.49833333333333,33.91
AJMER,2005,342.23,25.581863013698626,37.52008219178082,2.3524931506849316,96.49378082191782,20.43
AJMER,2006,355.11,26.414712328767127,39.357123287671236,2.4103835616438354,96.4692602739726,24.32
AJMER,2007,404.05,25.949835616438357,39.32920547945206,2.342,96.45687671232878,26.31
AJMER,2008,470.87,25.439480874316942,40.86106557377049,2.3343715846994537,96.4561475409836,32.64
AJMER,2009,312.26,26.567506849315066,37.00101369863014,2.385972602739726,96.46531506849314,18.68
AJMER,2010,594.3100000000001,25.94279452054795,45.111123287671234,2.252876712328767,96.44304109589041,25.3
AJMER,2011,538.46,25.32331506849315,45.43646575342466,2.3162191780821915,96.43076712328768,26.47
AJMER,2012,556.24,24.845628415300546,41.13628415300546,2.2816120218579234,96.4550819672131,53.63
AJMER,2013,598.21,24.78983561643836,46.52452054794521,2.2116712328767125,96.48153424657535,24.9
AJMER,2014,468.68,25.27654794520548,42.73512328767123,2.4412054794520546,96.5625205479452,36.71
AJMER,2015,430.87,25.430602739726027,41.965397260273974,2.3354520547945206,96.58953424657534,29.71
AJMER,2016,593.36,25.972295081967214,42.86,2.347704918032787,96.51166666666666,35.82
AJMER,2017,509.92,25.556,41.10484931506849,2.334712328767123,96.51602739726027,30.02
AJMER,2018,393.43,25.934876712328766,37.580219178082196,2.371123287671233,96.49235616438357,27.69
AJMER,2019,727.79,24.984821917808215,49.89808219178082,2.1546849315068495,96.55769863013698,52.88
AJMER,2020,512.03,25.28071038251366,46.57295081967213,2.1612841530054645,96.51887978142078,36.89
AJMER,2021,599.89,25.759397260273975,47.15180821917808,2.3458630136986303,96.45361643835616,56.66
AJMER,2022,719.44,25.680575342465755,48.810712328767124,2.357835616438356,96.42419178082193,51.77
ALWAR,1986,387.48,26.065479452054795,35.17504109589041,2.0675068493150683,97.87471232876712,27.21
ALWAR,1987,322.18,27.430849315068492,30.122876712328768,2.0455342465753423,97.90342465753425,23.09
ALWAR,1988,605.07,26.754863387978144,38.85131147540984,2.123497267759563,97.80267759562841,31.05
ALWAR,1989,352.07,26.49750684931507,31.569561643835616,2.095068493150685,97.85320547945204,48.3
ALWAR,1990,761.22,25.95290410958904,43.89643835616439,2.1172054794520547,97.84227397260274,33.9
ALWAR,1991,575.92,26.353287671232877,36.10189041095891,2.0634520547945203,97.87208219178082,43.53
ALWAR,1992,533.27,26.068032786885244,39.24262295081967,2.1410109289617485,97.92789617486339,36.22
ALWAR,1993,654.48,26.459890410958906,36.73501369863014,2.1533424657534246,97.88298630136987,59.59
ALWAR,1994,692.32,26.16378082191781,39.52041095890411,2.027917808219178,97.86041095890411,42.37
ALWAR,1995,721.21,25.913643835616437,41.70928767123287,2.1116712328767124,97.86090410958904,50.05
ALWAR,1996,753.73,25.704617486338798,41.574262295081965,2.076584699453552,97.82521857923497,35.04
ALWAR,1997,559.03,25.53049315068493,41.605260273972604,2.0486575342465754,97.95934246575344,27.29
ALWAR,1998,632.82,25.878575342465755,43.86164383561644,2.0214520547945205,97.89583561643836,38.36
ALWAR,1999,340.56,27.345808219178082,32.44564383561644,2.1881643835616438,97.77931506849315,18.54
ALWAR,2000,370.92,26.917978142076503,31.927923497267763,2.164590163934426,97.74838797814209,17.91
ALWAR,2001,414.38,26.81695890410959,33.989835616438356,2.027698630136986,97.8233698630137,42.37
