office_name,pincode,delivery_status,office_type,region,division
Ajmer H.O,305001,Delivery,HO,Ajmer,Region Ajmer
Alwar Gate Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Ashok Marg Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Bhajan Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Dargha Shareef Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Dhan Mandi Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Gujar Dharti Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Jln Hospital Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Jones Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Kaiser Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Kutchery S.O (Ajmer),305001,Non-Delivery,PO,Ajmer,Region Ajmer
Loco Work Shop Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Nagra Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Naya Bazar S.O (Ajmer),305001,Non-Delivery,PO,Ajmer,Region Ajmer
Raj. Edu. Board Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
RPSC Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Session Court Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Shastri Nagar S.O (Ajmer),305001,Non-Delivery,PO,Ajmer,Region Ajmer
Makhupura B.O,305002,Delivery,BO,Ajmer,Region Ajmer
Ie Makhu Pura Ajmer S.O,305002,Delivery,PO,Ajmer,Region Ajmer
Sendaria B.O,305002,Delivery,BO,Ajmer,Region Ajmer
Adarsh Nagar (Ajmer) S.O,305002,Non-Delivery,PO,Ajmer,Region Ajmer
Dorai B.O,305003,Delivery,BO,Ajmer,Region Ajmer
Somalpur B.O,305003,Delivery,BO,Ajmer,Region Ajmer
Hmt Ajmer Dtso S.O,305003,Delivery,PO,Ajmer,Region Ajmer
Ajai Nagra S.O,305003,Non-Delivery,PO,Ajmer,Region Ajmer
Chanderverdai Nagar S.O,305003,Non-Delivery,PO,Ajmer,Region Ajmer
Ram Ganj Ajmer S.O,305003,Non-Delivery,PO,Ajmer,Region Ajmer
Chorsiawas B.O,305004,Delivery,BO,Ajmer,Region Ajmer
Makarwali B.O,305004,Delivery,BO,Ajmer,Region Ajmer
Nosar B.O,305004,Delivery,BO,Ajmer,Region Ajmer
Regional College Ajmer S.O,305004,Delivery,PO,Ajmer,Region Ajmer
B.K.Kaul Nagar S.O,305004,Non-Delivery,PO,Ajmer,Region Ajmer
Panchsheel Nagar  S.O,305004,Non-Delivery,PO,Ajmer,Region Ajmer
Vaishali Nagar Ajmer S.O,305004,Non-Delivery,PO,Ajmer,Region Ajmer
Ajaiser B.O,305005,Delivery,BO,Ajmer,Region Ajmer
Hatikhera B.O,305005,Delivery,BO,Ajmer,Region Ajmer
Kharkheri B.O,305005,Delivery,BO,Ajmer,Region Ajmer
Crpf Ajmer S.O,305005,Delivery,PO,Ajmer,Region Ajmer
Gc Road Ajmer S.O,305007,Delivery,PO,Ajmer,Region Ajmer
Mayo S.O,305007,Non-Delivery,PO,Ajmer,Region Ajmer
Naka Madar Ajmer S.O,305007,Non-Delivery,PO,Ajmer,Region Ajmer
Pal Beesla Ajmer S.O,305007,Non-Delivery,PO,Ajmer,Region Ajmer
Mds University Ajmer S.O,305009,Delivery,PO,Ajmer,Region Ajmer
Hatundi B.O,305012,Delivery,BO,Ajmer,Region Ajmer
Mss Hatundi S.O,305012,Delivery,PO,Ajmer,Region Ajmer
Kanwalai B.O,305021,Delivery,BO,Ajmer,Region Ajmer
Khori B.O,305021,Delivery,BO,Ajmer,Region Ajmer
Karel S.O,305021,Delivery,PO,Ajmer,Region Ajmer
Bhagwan Pura B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Deo Nagar B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Ganahera B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Kanas B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Kishanpura B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Nand B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Picholia B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Tilora B.O,305022,Delivery,BO,Ajmer,Region Ajmer
Pushkar S.O,305022,Delivery,PO,Ajmer,Region Ajmer
Pushkar Bazar S.O,305022,Non-Delivery,PO,Ajmer,Region Ajmer
Bhudol B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Bubani B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Chachiwas B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Gegal Akhari B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Googhra B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Kayar B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Ladpura B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Gagwana S.O,305023,Delivery,PO,Ajmer,Region Ajmer
Mohami B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Untra B.O,305023,Delivery,BO,Ajmer,Region Ajmer
Nareli B.O,305024,Delivery,BO,Ajmer,Region Ajmer
Rasoolpura B.O,305024,Delivery,BO,Ajmer,Region Ajmer
Maday S.O,305024,Delivery,PO,Ajmer,Region Ajmer
Srinagar S.O (Ajmer),305025,Delivery,PO,Ajmer,Region Ajmer
Badliya B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Beer B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Danta B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Farkia B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Jilawara B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Kana Kheri B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Kanpura B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Mundolao B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Palran B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Tihari B.O,305025,Delivery,BO,Ajmer,Region Ajmer
Bithur B.O,305205,Delivery,BO,Ajmer,Region Ajmer
Kaklana B.O,305205,Delivery,BO,Ajmer,Region Ajmer
Kotaj B.O,305205,Delivery,BO,Ajmer,Region Ajmer
Maya Pur B.O,305205,Delivery,BO,Ajmer,Region Ajmer
Raj Garh (Ajmer) S.O,305205,Delivery,PO,Ajmer,Region Ajmer
Amba Masina B.O,305206,Delivery,BO,Ajmer,Region Ajmer
Bhaonta B.O,305206,Delivery,BO,Ajmer,Region Ajmer
Saradhana S.O,305206,Delivery,PO,Ajmer,Region Ajmer
Dumara B.O,305206,Delivery,BO,Ajmer,Region Ajmer
Kesarpura B.O,305206,Delivery,BO,Ajmer,Region Ajmer
Makrera B.O,305206,Delivery,BO,Ajmer,Region Ajmer
Nooriawas B.O,305206,Delivery,BO,Ajmer,Region Ajmer
Tabiji B.O,305206,Delivery,BO,Ajmer,Region Ajmer
Deo Puri B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Sursara B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Dhasook B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Khandach B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Sardar Singh Ki Dhani B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Ralaota B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Barna B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Bandar Sindari B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Sanwatsar B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Jheerota B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Thal B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Dindwara B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Katsura B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Mundoti B.O,305801,Delivery,BO,Ajmer,Region Ajmer
Madanganj Kishangarh H.O,305801,Delivery,HO,Ajmer,Region Ajmer
Aditya Mills S.O,305801,Non-Delivery,PO,Ajmer,Region Ajmer
Chandra Colony S.O,305801,Non-Delivery,PO,Ajmer,Region Ajmer
Gandhi Nagar Madanganj S.O,305801,Non-Delivery,PO,Ajmer,Region Ajmer
Marble Ind. Area Kishangarh S.O,305801,Non-Delivery,PO,Ajmer,Region Ajmer
Shivaji Nagar S.O (Ajmer),305801,Non-Delivery,PO,Ajmer,Region Ajmer
Kishangarh City S.O,305802,Delivery,PO,Ajmer,Region Ajmer
Sargoan B.O,305802,Delivery,BO,Ajmer,Region Ajmer
Silora B.O,305802,Delivery,BO,Ajmer,Region Ajmer
Tikawara B.O,305802,Delivery,BO,Ajmer,Region Ajmer
Udaipur Kalan B.O,305802,Delivery,BO,Ajmer,Region Ajmer
Dhan Mandi   Kishan Garh S.O,305802,Non-Delivery,PO,Ajmer,Region Ajmer
Kuchil S.O,305811,Delivery,PO,Ajmer,Region Ajmer
Ararka B.O,305811,Delivery,BO,Ajmer,Region Ajmer
Babaicha B.O,305811,Delivery,BO,Ajmer,Region Ajmer
Chitakhera B.O,305811,Delivery,BO,Ajmer,Region Ajmer
Magara B.O,305811,Delivery,BO,Ajmer,Region Ajmer
Magri B.O,305811,Delivery,BO,Ajmer,Region Ajmer
Narwar B.O,305811,Delivery,BO,Ajmer,Region Ajmer
Harmara S.O,305812,Delivery,PO,Ajmer,Region Ajmer
Buharu B.O,305812,Delivery,BO,Ajmer,Region Ajmer
Chhota Naraina B.O,305812,Delivery,BO,Ajmer,Region Ajmer
Arain S.O,305813,Delivery,PO,Ajmer,Region Ajmer
Akodia B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Bhamolao B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Bhogadeet B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Dadia B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Dang B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Gagunda B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Gothiana B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Kalanada B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Lamba B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Sandolia B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Sironj B.O,305813,Delivery,BO,Ajmer,Region Ajmer
Roopnagar S.O,305814,Delivery,PO,Ajmer,Region Ajmer
Bhadoon B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Jajota B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Kotdi B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Nawa B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Nitooti B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Nosal B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Paner B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Raghunath Pura B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Sinodia B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Tyod B.O,305814,Delivery,BO,Ajmer,Region Ajmer
Salemabad S.O,305815,Delivery,PO,Ajmer,Region Ajmer
Khatoli B.O,305815,Delivery,BO,Ajmer,Region Ajmer
Pinglod B.O,305815,Delivery,BO,Ajmer,Region Ajmer
Singara B.O,305815,Delivery,BO,Ajmer,Region Ajmer
Tityari B.O,305815,Delivery,BO,Ajmer,Region Ajmer
Tiloniya S.O,305816,Delivery,PO,Ajmer,Region Ajmer
Patan B.O,305816,Delivery,BO,Ajmer,Region Ajmer
Nalu B.O,305816,Delivery,BO,Ajmer,Region Ajmer
Central University of Rajasthan S.O,305817,Delivery,PO,Ajmer,Region Ajmer
Karkeri S.O,305819,Delivery,PO,Ajmer,Region Ajmer
Amarpura B.O,305819,Delivery,BO,Ajmer,Region Ajmer
Govind Garh S.O,305201,Delivery,PO,Ajmer,Region Beawar
Leswa B.O,305201,Delivery,BO,Ajmer,Region Beawar
Kharwa S.O,305202,Delivery,PO,Ajmer,Region Beawar
Gola B.O,305202,Delivery,BO,Ajmer,Region Beawar
Kanakhera B.O,305202,Delivery,BO,Ajmer,Region Beawar
Lamana B.O,305202,Delivery,BO,Ajmer,Region Beawar
Piplaj B.O,305202,Delivery,BO,Ajmer,Region Beawar
Rudlai B.O,305202,Delivery,BO,Ajmer,Region Beawar
Mangliawas S.O,305203,Delivery,PO,Ajmer,Region Beawar
Arjunpura B.O,305203,Delivery,BO,Ajmer,Region Beawar
Bhimpura B.O,305203,Delivery,BO,Ajmer,Region Beawar
Brickchiawas B.O,305203,Delivery,BO,Ajmer,Region Beawar
Leeri B.O,305203,Delivery,BO,Ajmer,Region Beawar
Pisangan S.O,305204,Delivery,PO,Ajmer,Region Beawar
Budhwara B.O,305204,Delivery,BO,Ajmer,Region Beawar
Fathepura B.O,305204,Delivery,BO,Ajmer,Region Beawar
Kalesara B.O,305204,Delivery,BO,Ajmer,Region Beawar
Karnos B.O,305204,Delivery,BO,Ajmer,Region Beawar
Mewaria B.O,305204,Delivery,BO,Ajmer,Region Beawar
Pagaran B.O,305204,Delivery,BO,Ajmer,Region Beawar
Rampura Dabla B.O,305204,Delivery,BO,Ajmer,Region Beawar
Jethana S.O,305207,Delivery,PO,Ajmer,Region Beawar
Alipura B.O,305207,Delivery,BO,Ajmer,Region Beawar
Bhadsuri B.O,305207,Delivery,BO,Ajmer,Region Beawar
Dantra B.O,305207,Delivery,BO,Ajmer,Region Beawar
Dodiana B.O,305207,Delivery,BO,Ajmer,Region Beawar
Nagelao B.O,305207,Delivery,BO,Ajmer,Region Beawar
Bhwani Khera S.O,305401,Delivery,PO,Ajmer,Region Beawar
Baghsuri B.O,305401,Delivery,BO,Ajmer,Region Beawar
Banewara B.O,305401,Delivery,BO,Ajmer,Region Beawar
Boobaniya B.O,305401,Delivery,BO,Ajmer,Region Beawar
Nandla B.O,305401,Delivery,BO,Ajmer,Region Beawar
Rajosi B.O,305401,Delivery,BO,Ajmer,Region Beawar
Ramsar S.O (Ajmer),305402,Delivery,PO,Ajmer,Region Beawar
Jhadol B.O,305402,Delivery,BO,Ajmer,Region Beawar
Mandawaria B.O,305402,Delivery,BO,Ajmer,Region Beawar
Mawasia B.O,305402,Delivery,BO,Ajmer,Region Beawar
Morajhari B.O,305402,Delivery,BO,Ajmer,Region Beawar
Samproda B.O,305402,Delivery,BO,Ajmer,Region Beawar
Tilana B.O,305402,Delivery,BO,Ajmer,Region Beawar
Sarwar S.O,305403,Delivery,PO,Ajmer,Region Beawar
Bhagwan Pura B.O,305403,Delivery,BO,Ajmer,Region Beawar
Jadana B.O,305403,Delivery,BO,Ajmer,Region Beawar
Khiriya B.O,305403,Delivery,BO,Ajmer,Region Beawar
Satolav B.O,305403,Delivery,BO,Ajmer,Region Beawar
Kekri S.O,305404,Delivery,PO,Ajmer,Region Beawar
Ajgara B.O,305404,Delivery,BO,Ajmer,Region Beawar
Bharai B.O,305404,Delivery,BO,Ajmer,Region Beawar
Jetpura B.O,305404,Delivery,BO,Ajmer,Region Beawar
Kerot B.O,305404,Delivery,BO,Ajmer,Region Beawar
Mevada Kalan B.O,305404,Delivery,BO,Ajmer,Region Beawar
Pharkia B.O,305404,Delivery,BO,Ajmer,Region Beawar
Pranhera B.O,305404,Delivery,BO,Ajmer,Region Beawar
Rampali B.O,305404,Delivery,BO,Ajmer,Region Beawar
Sanpla B.O,305404,Delivery,BO,Ajmer,Region Beawar
Sarsari B.O,305404,Delivery,BO,Ajmer,Region Beawar
Sunpa B.O,305404,Delivery,BO,Ajmer,Region Beawar
MEWADAKHURD B.O,305404,Delivery,BO,Ajmer,Region Beawar
Aloli B.O,305405,Delivery,BO,Ajmer,Region Beawar
Kadera S.O,305405,Delivery,PO,Ajmer,Region Beawar
Bhimrawas B.O,305405,Delivery,BO,Ajmer,Region Beawar
Khawas B.O,305405,Delivery,BO,Ajmer,Region Beawar
Mehru Kalan B.O,305405,Delivery,BO,Ajmer,Region Beawar
Piplaj B.O,305405,Delivery,BO,Ajmer,Region Beawar
Sankariya B.O,305405,Delivery,BO,Ajmer,Region Beawar
Harpura B.O,305406,Delivery,BO,Ajmer,Region Beawar
Hingonia B.O,305406,Delivery,BO,Ajmer,Region Beawar
Lalai B.O,305406,Delivery,BO,Ajmer,Region Beawar
Lasadia B.O,305406,Delivery,BO,Ajmer,Region Beawar
Junia S.O,305406,Delivery,PO,Ajmer,Region Beawar
Sawar S.O,305407,Delivery,PO,Ajmer,Region Beawar
Bajata B.O,305407,Delivery,BO,Ajmer,Region Beawar
Bisundri B.O,305407,Delivery,BO,Ajmer,Region Beawar
Chitiawas B.O,305407,Delivery,BO,Ajmer,Region Beawar
Ghatiyali B.O,305407,Delivery,BO,Ajmer,Region Beawar
Gordha B.O,305407,Delivery,BO,Ajmer,Region Beawar
Gulgaon B.O,305407,Delivery,BO,Ajmer,Region Beawar
Kunwar Ji Ka Kalera B.O,305407,Delivery,BO,Ajmer,Region Beawar
Kushayata B.O,305407,Delivery,BO,Ajmer,Region Beawar
Napa Khera B.O,305407,Delivery,BO,Ajmer,Region Beawar
Sadara B.O,305407,Delivery,BO,Ajmer,Region Beawar
Tankawas B.O,305407,Delivery,BO,Ajmer,Region Beawar
Bogla B.O,305408,Delivery,BO,Ajmer,Region Beawar
Dhundhari B.O,305408,Delivery,BO,Ajmer,Region Beawar
Kohda B.O,305408,Delivery,BO,Ajmer,Region Beawar
Molkiya B.O,305408,Delivery,BO,Ajmer,Region Beawar
Salari B.O,305408,Delivery,BO,Ajmer,Region Beawar
Taswaria B.O,305408,Delivery,BO,Ajmer,Region Beawar
PARA S.O,305408,Delivery,PO,Ajmer,Region Beawar
K.K.GOPAL B.O,305408,Delivery,BO,Ajmer,Region Beawar
Kaseer B.O,305412,Delivery,BO,Ajmer,Region Beawar
Manoharpura B.O,305412,Delivery,BO,Ajmer,Region Beawar
Sher Garh B.O,305412,Delivery,BO,Ajmer,Region Beawar
Siyar B.O,305412,Delivery,BO,Ajmer,Region Beawar
Fathegarh S.O,305412,Delivery,PO,Ajmer,Region Beawar
Barol B.O,305412,Delivery,BO,Ajmer,Region Beawar
Bidla B.O,305412,Delivery,BO,Ajmer,Region Beawar
Borada B.O,305412,Delivery,BO,Ajmer,Region Beawar
Dabrella B.O,305412,Delivery,BO,Ajmer,Region Beawar
Baghera S.O,305415,Delivery,PO,Ajmer,Region Beawar
Deogaon B.O,305415,Delivery,BO,Ajmer,Region Beawar
Karonj B.O,305415,Delivery,BO,Ajmer,Region Beawar
Nasirabad H.O,305601,Delivery,HO,Ajmer,Region Beawar
Dilwara B.O,305601,Delivery,BO,Ajmer,Region Beawar
Sanod B.O,305601,Delivery,BO,Ajmer,Region Beawar
Sarana B.O,305601,Delivery,BO,Ajmer,Region Beawar
Loharwara B.O,305601,Delivery,BO,Ajmer,Region Beawar
Arwar B.O,305601,Delivery,BO,Ajmer,Region Beawar
Bhatiyani B.O,305601,Delivery,BO,Ajmer,Region Beawar
Derathu B.O,305601,Delivery,BO,Ajmer,Region Beawar
Goyla B.O,305601,Delivery,BO,Ajmer,Region Beawar
Shokalia B.O,305601,Delivery,BO,Ajmer,Region Beawar
Dhal B.O,305601,Delivery,BO,Ajmer,Region Beawar
Asha Pura B.O,305601,Delivery,BO,Ajmer,Region Beawar
Bhagawant Pura B.O,305601,Delivery,BO,Ajmer,Region Beawar
Lawera B.O,305601,Delivery,BO,Ajmer,Region Beawar
Motipura B.O,305601,Delivery,BO,Ajmer,Region Beawar
Bandanwara S.O,305621,Delivery,PO,Ajmer,Region Beawar
Chhachhundra B.O,305621,Delivery,BO,Ajmer,Region Beawar
Jharwasa B.O,305621,Delivery,BO,Ajmer,Region Beawar
Karanti B.O,305621,Delivery,BO,Ajmer,Region Beawar
Kumharia B.O,305621,Delivery,BO,Ajmer,Region Beawar
Niyara B.O,305621,Delivery,BO,Ajmer,Region Beawar
Paranga B.O,305621,Delivery,BO,Ajmer,Region Beawar
Bhinai S.O,305622,Delivery,PO,Ajmer,Region Beawar
Bubkiya B.O,305622,Delivery,BO,Ajmer,Region Beawar
Dhatol B.O,305622,Delivery,BO,Ajmer,Region Beawar
Khayda B.O,305622,Delivery,BO,Ajmer,Region Beawar
Sobri B.O,305622,Delivery,BO,Ajmer,Region Beawar
Masuda S.O,305623,Delivery,PO,Ajmer,Region Beawar
Deomali B.O,305623,Delivery,BO,Ajmer,Region Beawar
Dholadanta B.O,305623,Delivery,BO,Ajmer,Region Beawar
Harrajpura B.O,305623,Delivery,BO,Ajmer,Region Beawar
Kheempura B.O,305623,Delivery,BO,Ajmer,Region Beawar
Kirap B.O,305623,Delivery,BO,Ajmer,Region Beawar
Lulwa B.O,305623,Delivery,BO,Ajmer,Region Beawar
Manpura B.O,305623,Delivery,BO,Ajmer,Region Beawar
Mayala B.O,305623,Delivery,BO,Ajmer,Region Beawar
Moyana B.O,305623,Delivery,BO,Ajmer,Region Beawar
Nandwara B.O,305623,Delivery,BO,Ajmer,Region Beawar
Shergarh B.O,305623,Delivery,BO,Ajmer,Region Beawar
Shyamgarh B.O,305623,Delivery,BO,Ajmer,Region Beawar
Bijainagar S.O,305624,Delivery,PO,Ajmer,Region Beawar
Badi B.O,305624,Delivery,BO,Ajmer,Region Beawar
Baral B.O,305624,Delivery,BO,Ajmer,Region Beawar
Barali B.O,305624,Delivery,BO,Ajmer,Region Beawar
Doulatpura B.O,305624,Delivery,BO,Ajmer,Region Beawar
Ekal Singha B.O,305624,Delivery,BO,Ajmer,Region Beawar
Nimera B.O,305624,Delivery,BO,Ajmer,Region Beawar
Ratakot B.O,305624,Delivery,BO,Ajmer,Region Beawar
Sathana B.O,305624,Delivery,BO,Ajmer,Region Beawar
Shikhrani B.O,305624,Delivery,BO,Ajmer,Region Beawar
Singhawal B.O,305624,Delivery,BO,Ajmer,Region Beawar
Jalia  II S.O,305625,Delivery,PO,Ajmer,Region Beawar
Hanutia B.O,305625,Delivery,BO,Ajmer,Region Beawar
Kaniya B.O,305625,Delivery,BO,Ajmer,Region Beawar
Lodiyana B.O,305625,Delivery,BO,Ajmer,Region Beawar
Tantoti S.O,305627,Delivery,PO,Ajmer,Region Beawar
Jotayan B.O,305627,Delivery,BO,Ajmer,Region Beawar
Kebania B.O,305627,Delivery,BO,Ajmer,Region Beawar
Kitap B.O,305627,Delivery,BO,Ajmer,Region Beawar
Rammalia B.O,305627,Delivery,BO,Ajmer,Region Beawar
Nagola S.O,305628,Delivery,PO,Ajmer,Region Beawar
Barala B.O,305628,Delivery,BO,Ajmer,Region Beawar
Kanai Kalan B.O,305628,Delivery,BO,Ajmer,Region Beawar
Kanai Khurd B.O,305628,Delivery,BO,Ajmer,Region Beawar
Kurthal B.O,305628,Delivery,BO,Ajmer,Region Beawar
Nandsi B.O,305628,Delivery,BO,Ajmer,Region Beawar
Padlia B.O,305628,Delivery,BO,Ajmer,Region Beawar
Surkhand B.O,305628,Delivery,BO,Ajmer,Region Beawar
Champaneri S.O,305629,Delivery,PO,Ajmer,Region Beawar
Gudha Khurd B.O,305629,Delivery,BO,Ajmer,Region Beawar
Lamagra B.O,305629,Delivery,BO,Ajmer,Region Beawar
Deolia Kalan B.O,305629,Delivery,BO,Ajmer,Region Beawar
Jamola S.O,305630,Delivery,PO,Ajmer,Region Beawar
Lamba Kund Ka B.O,305630,Delivery,BO,Ajmer,Region Beawar
Begliawas B.O,305630,Delivery,BO,Ajmer,Region Beawar
Jhipian B.O,305630,Delivery,BO,Ajmer,Region Beawar
Satawaria B.O,305630,Delivery,BO,Ajmer,Region Beawar
Jeewana B.O,305631,Delivery,BO,Ajmer,Region Beawar
Shivpura Ghata B.O,305631,Delivery,BO,Ajmer,Region Beawar
Dedpura B.O,305631,Delivery,BO,Ajmer,Region Beawar
RAMGARH S.O,305631,Delivery,PO,Ajmer,Region Beawar
Dewas B.O,305631,Delivery,BO,Ajmer,Region Beawar
Doulatpura B.O,305631,Delivery,BO,Ajmer,Region Beawar
Beawar [Raj] H.O,305901,Delivery,HO,Ajmer,Region Beawar
Andheri Deori B.O,305901,Delivery,BO,Ajmer,Region Beawar
Balad B.O,305901,Delivery,BO,Ajmer,Region Beawar
Sarmalia B.O,305901,Delivery,BO,Ajmer,Region Beawar
Bayala B.O,305901,Delivery,BO,Ajmer,Region Beawar
Noondri Mendratan B.O,305901,Delivery,BO,Ajmer,Region Beawar
Borwa B.O,305901,Delivery,BO,Ajmer,Region Beawar
Jalia i B.O,305901,Delivery,BO,Ajmer,Region Beawar
Malpura B.O,305901,Delivery,BO,Ajmer,Region Beawar
Sedaria B.O,305901,Delivery,BO,Ajmer,Region Beawar
Delwara B.O,305901,Delivery,BO,Ajmer,Region Beawar
Noondri Maldev B.O,305901,Delivery,BO,Ajmer,Region Beawar
Beawar Khas B.O,305901,Delivery,BO,Ajmer,Region Beawar
Jhak B.O,305901,Delivery,BO,Ajmer,Region Beawar
Narbad Khera B.O,305901,Delivery,BO,Ajmer,Region Beawar
Roopnagar B.O,305901,Delivery,BO,Ajmer,Region Beawar
Suhawa B.O,305901,Delivery,BO,Ajmer,Region Beawar
Beawar R.S. S.O,305901,Non-Delivery,PO,Ajmer,Region Beawar
Nehru Nagar (Beawar) S.O,305901,Non-Delivery,PO,Ajmer,Region Beawar
Sendra Road (Beawar) S.O,305901,Non-Delivery,PO,Ajmer,Region Beawar
Shahpura Mohalla( Beawar ) S.O,305901,Non-Delivery,PO,Ajmer,Region Beawar
Jawaja S.O,305922,Delivery,PO,Ajmer,Region Beawar
Anakar B.O,305922,Delivery,BO,Ajmer,Region Beawar
Bar Kochara B.O,305922,Delivery,BO,Ajmer,Region Beawar
Biliyawas B.O,305922,Delivery,BO,Ajmer,Region Beawar
Dewata B.O,305922,Delivery,BO,Ajmer,Region Beawar
Dunger Khera B.O,305922,Delivery,BO,Ajmer,Region Beawar
Saroth B.O,305922,Delivery,BO,Ajmer,Region Beawar
Lotiyana S.O,305923,Delivery,PO,Ajmer,Region Beawar
Rawatmal B.O,305923,Delivery,BO,Ajmer,Region Beawar
Soniana B.O,305923,Delivery,BO,Ajmer,Region Beawar
Taragarh Dadoli B.O,305923,Delivery,BO,Ajmer,Region Beawar
Todgarh S.O,305924,Delivery,PO,Ajmer,Region Beawar
Malto Ki Ber B.O,305924,Delivery,BO,Ajmer,Region Beawar
Rajiawas S.O,305925,Delivery,PO,Ajmer,Region Beawar
Atitmand B.O,305925,Delivery,BO,Ajmer,Region Beawar
Deo Khera B.O,305925,Delivery,BO,Ajmer,Region Beawar
Gohana B.O,305925,Delivery,BO,Ajmer,Region Beawar
Kalinjer B.O,305925,Delivery,BO,Ajmer,Region Beawar
Laget Khera B.O,305925,Delivery,BO,Ajmer,Region Beawar
Sarvena B.O,305925,Delivery,BO,Ajmer,Region Beawar
Shahpura B.O,305925,Delivery,BO,Ajmer,Region Beawar
Surdiya B.O,305925,Delivery,BO,Ajmer,Region Beawar
Raitakhera B.O,305925,Delivery,BO,Ajmer,Region Beawar
Barakhera S.O,305926,Delivery,PO,Ajmer,Region Beawar
Asan B.O,305926,Delivery,BO,Ajmer,Region Beawar
Bamanheda B.O,305926,Delivery,BO,Ajmer,Region Beawar
Banjari B.O,305926,Delivery,BO,Ajmer,Region Beawar
Barakhan B.O,305926,Delivery,BO,Ajmer,Region Beawar
Khodmal B.O,305926,Delivery,BO,Ajmer,Region Beawar
Palri B.O,305926,Delivery,BO,Ajmer,Region Beawar
