date,location,latitude,longitude,rainfall_mm,temperature_c,humidity_percent,wind_speed_mps,pressure_kpa
2025-03-15,Ajmer,26.4499,74.6399,0.06,25.93,30.69,3.21,96.58
2025-03-16,Ajmer,26.4499,74.6399,0.01,24.83,33.68,2.69,96.82
2025-03-17,Ajmer,26.4499,74.6399,0.18,24.56,25.94,2.37,96.89
2025-03-18,Ajmer,26.4499,74.6399,0.0,24.67,22.09,1.87,96.87
2025-03-19,Ajmer,26.4499,74.6399,0.0,25.66,18.75,2.76,96.83
2025-03-20,Ajmer,26.4499,74.6399,0.03,26.27,19.3,2.76,96.97
2025-03-21,Ajmer,26.4499,74.6399,0.08,26.84,23.17,2.49,97.03
2025-03-22,Ajmer,26.4499,74.6399,0.0,27.38,19.35,2.44,96.89
2025-03-23,Ajmer,26.4499,74.6399,0.0,27.09,15.32,2.12,96.97
2025-03-24,Ajmer,26.4499,74.6399,0.0,28.42,14.61,2.33,96.87
2025-03-25,Ajmer,26.4499,74.6399,0.0,28.75,15.05,2.08,96.54
2025-03-26,Ajmer,26.4499,74.6399,0.0,28.54,19.48,3.27,96.36
2025-03-27,Ajmer,26.4499,74.6399,0.0,27.29,17.4,4.06,96.44
2025-03-28,Ajmer,26.4499,74.6399,0.0,23.41,7.77,3.09,96.72
2025-03-29,Ajmer,26.4499,74.6399,0.0,23.04,8.65,2.31,96.75
2025-03-30,Ajmer,26.4499,74.6399,0.0,25.7,9.28,1.59,96.71
2025-03-31,Ajmer,26.4499,74.6399,0.0,26.46,10.97,1.78,96.72
2025-04-01,Ajmer,26.4499,74.6399,0.0,27.45,12.61,1.71,96.58
2025-04-02,Ajmer,26.4499,74.6399,0.0,28.28,12.01,3.08,96.58
2025-04-03,Ajmer,26.4499,74.6399,0.0,29.63,13.9,2.89,96.62
2025-04-04,Ajmer,26.4499,74.6399,0.0,29.88,11.99,2.48,96.72
2025-04-05,Ajmer,26.4499,74.6399,0.0,29.66,16.33,2.37,96.6
2025-04-06,Ajmer,26.4499,74.6399,0.0,32.64,14.53,2.17,96.36
2025-04-07,Ajmer,26.4499,74.6399,0.0,32.59,14.24,2.18,96.39
2025-04-08,Ajmer,26.4499,74.6399,0.0,33.35,15.79,3.17,96.56
2025-04-09,Ajmer,26.4499,74.6399,0.0,33.81,12.79,4.21,96.45
2025-04-10,Ajmer,26.4499,74.6399,0.07,32.24,16.48,3.33,96.08
2025-04-11,Ajmer,26.4499,74.6399,1.46,31.47,21.62,3.9,95.93
2025-04-12,Ajmer,26.4499,74.6399,0.11,30.8,29.31,3.29,96.2
2025-04-13,Ajmer,26.4499,74.6399,0.1,32.02,24.57,2.15,96.38
2025-04-14,Ajmer,26.4499,74.6399,0.0,32.55,22.33,1.56,96.33
2025-04-15,Ajmer,26.4499,74.6399,0.0,32.61,23.64,2.86,96.33
2025-04-16,Ajmer,26.4499,74.6399,0.0,33.83,22.9,2.16,96.26
2025-04-17,Ajmer,26.4499,74.6399,0.0,34.71,20.06,3.89,96.07
2025-04-18,Ajmer,26.4499,74.6399,0.1,34.72,16.95,5.52,96.03
2025-04-19,Ajmer,26.4499,74.6399,0.0,32.91,17.16,5.32,96.0
2025-04-20,Ajmer,26.4499,74.6399,0.0,31.95,20.93,4.57,96.13
2025-04-21,Ajmer,26.4499,74.6399,0.0,30.56,9.81,2.89,96.48
2025-04-22,Ajmer,26.4499,74.6399,0.0,30.61,7.11,2.51,96.59
2025-04-23,Ajmer,26.4499,74.6399,0.0,30.81,7.35,2.8,96.38
2025-04-24,Ajmer,26.4499,74.6399,0.0,32.05,9.77,3.53,96.16
2025-04-25,Ajmer,26.4499,74.6399,0.0,32.71,13.92,3.58,96.19
2025-04-26,Ajmer,26.4499,74.6399,0.0,32.6,16.25,3.22,96.14
2025-04-27,Ajmer,26.4499,74.6399,0.0,33.51,11.33,1.75,96.24
2025-04-28,Ajmer,26.4499,74.6399,0.0,33.99,12.69,2.05,96.05
2025-04-29,Ajmer,26.4499,74.6399,0.0,33.89,11.75,2.16,96.01
2025-04-30,Ajmer,26.4499,74.6399,0.0,34.72,14.75,2.48,96.11
2025-05-01,Ajmer,26.4499,74.6399,0.09,34.92,17.88,2.06,96.19
2025-05-02,Ajmer,26.4499,74.6399,0.19,34.96,20.52,1.89,96.28
2025-05-03,Ajmer,26.4499,74.6399,0.26,33.78,24.97,3.99,96.14
2025-05-04,Ajmer,26.4499,74.6399,11.35,31.33,37.56,3.14,96.09
2025-05-05,Ajmer,26.4499,74.6399,1.57,30.15,50.31,2.39,96.14
2025-05-06,Ajmer,26.4499,74.6399,2.24,27.68,58.52,1.87,96.18
2025-05-07,Ajmer,26.4499,74.6399,0.47,26.98,60.15,1.37,96.14
2025-05-08,Ajmer,26.4499,74.6399,7.98,28.4,57.07,1.67,96.15
2025-05-09,Ajmer,26.4499,74.6399,2.68,29.33,57.65,1.75,96.31
2025-05-10,Ajmer,26.4499,74.6399,0.03,30.5,51.14,2.28,96.3
2025-05-11,Ajmer,26.4499,74.6399,0.05,32.08,46.15,3.12,96.19
2025-05-12,Ajmer,26.4499,74.6399,2.92,32.73,44.56,3.68,96.12
2025-05-13,Ajmer,26.4499,74.6399,0.28,32.66,46.19,3.0,96.16
2025-05-14,Ajmer,26.4499,74.6399,0.0,33.69,36.53,3.35,96.17
2025-05-15,Ajmer,26.4499,74.6399,0.0,34.75,27.74,3.91,96.18
2025-05-16,Ajmer,26.4499,74.6399,0.0,35.87,27.24,4.47,96.06
2025-05-17,Ajmer,26.4499,74.6399,0.03,35.95,32.58,5.09,96.05
2025-05-18,Ajmer,26.4499,74.6399,0.0,37.02,32.14,4.71,96.02
2025-05-19,Ajmer,26.4499,74.6399,0.0,37.47,28.72,4.63,95.95
2025-05-20,Ajmer,26.4499,74.6399,0.0,37.02,25.62,4.7,95.86
2025-05-21,Ajmer,26.4499,74.6399,0.02,37.38,25.29,4.23,95.84
2025-05-22,Ajmer,26.4499,74.6399,0.0,37.95,26.48,3.72,95.74
2025-05-23,Ajmer,26.4499,74.6399,0.0,37.21,23.49,3.66,95.53
2025-05-24,Ajmer,26.4499,74.6399,0.36,38.2,21.14,2.24,95.4
2025-05-25,Ajmer,26.4499,74.6399,3.29,36.46,33.45,3.97,95.68
2025-05-26,Ajmer,26.4499,74.6399,0.0,36.89,30.75,2.57,95.62
2025-05-27,Ajmer,26.4499,74.6399,0.0,37.08,32.71,2.52,95.49
2025-05-28,Ajmer,26.4499,74.6399,0.38,38.69,28.46,2.02,95.38
2025-05-29,Ajmer,26.4499,74.6399,1.3,36.4,33.07,3.65,95.35
2025-05-30,Ajmer,26.4499,74.6399,0.97,35.08,31.73,4.04,95.33
2025-05-31,Ajmer,26.4499,74.6399,4.61,32.53,37.57,4.85,95.6
2025-06-01,Ajmer,26.4499,74.6399,0.15,32.54,42.2,5.29,95.74
2025-06-02,Ajmer,26.4499,74.6399,5.4,32.11,47.11,4.21,95.67
2025-06-03,Ajmer,26.4499,74.6399,3.07,31.69,45.93,3.87,95.81
2025-06-04,Ajmer,26.4499,74.6399,0.53,31.49,44.1,3.25,96.07
2025-06-05,Ajmer,26.4499,74.6399,0.05,32.55,38.88,2.58,96.32
2025-06-06,Ajmer,26.4499,74.6399,0.12,34.73,33.82,4.8,96.27
2025-06-07,Ajmer,26.4499,74.6399,0.0,35.89,25.1,5.06,96.17
2025-06-08,Ajmer,26.4499,74.6399,0.0,36.15,22.62,5.57,96.1
2025-06-09,Ajmer,26.4499,74.6399,0.0,36.35,21.0,5.75,96.01
2025-06-10,Ajmer,26.4499,74.6399,0.0,36.74,25.68,4.82,95.9
2025-06-11,Ajmer,26.4499,74.6399,0.0,37.19,24.4,3.12,95.85
2025-06-12,Ajmer,26.4499,74.6399,0.0,38.43,20.89,2.38,95.68
2025-06-13,Ajmer,26.4499,74.6399,0.0,39.66,20.77,0.87,95.59
2025-06-14,Ajmer,26.4499,74.6399,1.21,39.33,25.11,2.3,95.51
2025-06-15,Ajmer,26.4499,74.6399,3.3,36.49,36.28,3.23,95.43
2025-06-16,Ajmer,26.4499,74.6399,23.83,31.96,59.07,2.99,95.42
2025-06-17,Ajmer,26.4499,74.6399,8.3,30.17,71.21,3.17,95.51
2025-06-18,Ajmer,26.4499,74.6399,2.51,30.95,66.35,2.12,95.37
2025-06-19,Ajmer,26.4499,74.6399,9.12,32.14,65.31,3.0,95.28
2025-06-20,Ajmer,26.4499,74.6399,12.02,28.91,75.89,4.09,95.59
2025-06-21,Ajmer,26.4499,74.6399,21.04,30.22,71.71,2.29,95.7
2025-06-22,Ajmer,26.4499,74.6399,1.34,30.9,69.24,2.51,95.64
2025-06-23,Ajmer,26.4499,74.6399,2.48,30.12,72.89,2.96,95.46
2025-06-24,Ajmer,26.4499,74.6399,12.34,30.16,74.81,2.35,95.41
2025-06-25,Ajmer,26.4499,74.6399,3.18,30.65,73.6,2.56,95.53
2025-06-26,Ajmer,26.4499,74.6399,2.73,30.83,73.45,3.18,95.68
2025-06-27,Ajmer,26.4499,74.6399,4.16,30.83,70.87,2.92,95.6
2025-06-28,Ajmer,26.4499,74.6399,0.87,30.07,68.21,3.05,95.6
2025-06-29,Ajmer,26.4499,74.6399,1.61,30.47,71.2,3.08,95.45
2025-06-30,Ajmer,26.4499,74.6399,0.16,30.62,66.52,4.53,95.48
2025-07-01,Ajmer,26.4499,74.6399,4.63,30.02,71.7,3.7,95.57
2025-07-02,Ajmer,26.4499,74.6399,28.19,29.4,76.87,1.62,95.49
2025-07-03,Ajmer,26.4499,74.6399,11.48,30.01,76.79,2.26,95.53
2025-07-04,Ajmer,26.4499,74.6399,2.69,28.53,81.35,2.29,95.68
2025-07-05,Ajmer,26.4499,74.6399,0.97,29.57,76.37,2.98,95.63
2025-07-06,Ajmer,26.4499,74.6399,8.4,28.74,79.58,2.27,95.57
2025-07-07,Ajmer,26.4499,74.6399,1.3,27.63,81.28,2.71,95.65
2025-07-08,Ajmer,26.4499,74.6399,0.2,29.66,71.52,2.94,95.74
2025-07-09,Ajmer,26.4499,74.6399,47.15,29.42,75.19,3.19,95.77
2025-07-10,Ajmer,26.4499,74.6399,3.56,28.81,76.77,2.44,95.86
2025-07-11,Ajmer,26.4499,74.6399,5.87,28.24,80.29,2.58,95.89
2025-07-12,Ajmer,26.4499,74.6399,10.33,27.34,84.99,2.52,95.87
2025-07-13,Ajmer,26.4499,74.6399,29.7,28.4,84.25,2.22,95.78
2025-07-14,Ajmer,26.4499,74.6399,10.41,27.63,86.01,2.91,95.53
